episode,reward
1,565.8
2,538.7
3,550.4000000000001
4,571.4
5,566.7
6,562.0
7,545.7
8,572.4000000000001
9,561.5
10,550.5
11,590.2
12,522.9
13,556.9
14,561.6
15,526.1
16,577.0
17,577.0
18,553.2
19,584.5
20,546.2
21,545.8
22,542.5
23,560.3
24,571.0
25,538.7
26,585.9000000000001
27,539.1
28,528.5
29,555.5
30,576.5
31,563.0
32,577.0
33,573.3
34,548.5
35,554.1
36,548.5
37,559.2
38,552.2
39,574.2
40,583.6
41,538.2
42,555.1
43,579.3
44,543.5
45,548.0
46,579.3
47,539.5999999999999
48,549.0
49,518.2
50,586.8
51,553.7
52,556.4
53,567.7
54,556.5
55,550.0
56,573.8
57,549.4
58,572.8000000000001
59,564.4
60,561.6
61,549.4
62,546.2
63,566.7
64,546.2
65,545.3
66,556.4
67,571.8
68,545.7
69,556.0
70,535.5
71,553.2
72,556.0
73,586.8
74,533.2
75,576.1
76,558.3
77,594.3
78,535.0
79,556.9
80,550.0
81,558.7
82,552.3000000000001
83,525.2
84,556.5
85,543.4
86,564.0
87,549.4
88,558.3
89,584.0
90,574.2
91,510.2
92,559.2
93,574.7
94,528.0
95,549.0
96,518.6
97,569.0
98,575.6
99,560.7
100,591.1
